title,DOI,abstract,release_date,authors,R0_sentence,R0_value,R0_location,bad,Spot check/resolve
Moving-average based index to evaluate the epidemic trend of COVID-19 outbreak,10.1101/2020.03.24.20027730,"A pneumonia outbreak caused by a novel coronavirus (COVID-19) occurred in Wuhan, China at the end of 2019 and then spread rapidly to the whole country. A total of 81,021 laboratory-confirmed cases, including 3,194 deaths (3.9%) had been reported in China by March 14, 2020, meanwhile, 61,518 laboratory-confirmed cases and 2,199 deaths were reported outside China. Common symptoms of COVID-19 pneumonia included fever, fatigue and dry cough. Faced with such a sudden outbreak of new infectious diseases, we have no history to learn from and no evidence to count on. Traditional models often predict inconsistent results. Aiming at estimate the epidemic trend timely after the outbreak, we mainly used 7-day moving average of log-transformed daily new cases (LMA) to establish a new index named ""epidemic trend index"", which will be used to predict the evolutionary trend of the epidemic situation and support epidemic control decision making processes. We used SARS epidemic data from Hong Kong in 2003 to verify the practicability of the new index, which shows that the index is acceptable. The epidemic trend index was then applied to the COVID-19 epidemic analysis in China. The results show that during the epidemic, the trend direction of different districts of China changed on different date. In the whole country and in Hubei Province alone, the epidemic reached the peak on February 9. While the peak appeared earlier, i.e. on February 5 in other provinces. It indicated that decisive outbreak control measures of the Chinese government are effective. While local governments should adjust management measures based on local risk level of epidemic. Although the epidemic has eased since late February, continued efforts in epidemic control are still needed to accelerate the end of the epidemic in China. However, the global COVID-19 epidemic outside China continues to expand as indicated by the epidemic trend index we proposed. In order to cope with the novel coronavirus pandemic, people all over the world should work together and governments of all countries should take efficient measures in the light of China's experience and according to national circumstances and local conditions.",3/26/2020,"['School of Public Health, Shanghai Jiao Tong University School of Medicine', 'Department of Biostatistics, Clinical Research Institute, Shanghai Jiao Tong University School of Medicine']",Zhou et al obtained similar results with R0 between 2.8 and 3.3,3.025,,,
"Estimating the ascertainment rate of SARS-CoV-2 infection in Wuhan, China: implications for management of the global outbreak",10.1101/2020.03.24.20042218,"We sought to estimate the ascertainment ratio of SARS-CoV-2 infection in Wuhan, China, using a modified Bayesian SEIR model with publicly reported case data. We estimated it at 0.465% (95%CI: 0.464-0.466%), implying that the outbreak in Wuhan was abated by depletion of susceptibles, rather than public health action alone. This suggests a high-transmissibility/low-severity profile for the current pandemic and raises doubt about whether suppression, rather than mitigation, is a feasible goal.",3/26/2020,"['National Public Health Organization, Athens, Greece']","The R0 was estimated at 3.07,  R0 estimate would be as high as 5.33","3.07, 5.33",,,
Age-dependent effects in the transmission and control of COVID-19 epidemics,10.1101/2020.03.24.20043018,"The COVID-19 pandemic has shown a markedly low proportion of cases among children. Age disparities in observed cases could be explained by children having lower susceptibility to infection, lower propensity to show clinical symptoms, or both. We evaluate these possibilities by fitting an age-structured mathematical model to epidemic data from six countries. We estimate that clinical symptoms occur in 25% (95% CrI: 19-32%) of infections in 10-19-year-olds, rising to 76% (68-82%) in over-70s, and that susceptibility to infection in under-20s is approximately half that of older adults. Accordingly, we find that interventions aimed at children may have a relatively small impact on total cases, particularly if the transmissibility of subclinical infections is low. The age-specific clinical fraction and susceptibility we have estimated has implications for the expected global burden of COVID-19 because of demographic differences across settings: in younger populations, the expected clinical attack rate would be lower, although it is likely that comorbidities in low-income countries will affect disease severity. Without effective control measures, regions with older populations may see disproportionally more clinical cases, particularly in the later stages of the pandemic.",3/27/2020,"['London School of Hygiene and Tropical Medicine', '']",reproduction number R0 was 2.5-2.8,2.65,,,
A Social Network Model of the COVID-19 Pandemic,10.1101/2020.03.23.20041798,"In the COVID-19 coronavirus pandemic, currently vaccines and specific anti-viral treatment are not yet available. Thus, preventing viral transmission by case isolation, quarantine, and social distancing is essential to slowing its spread. Here we model social networks using weighted graphs, where vertices represent individuals and edges represent contact. As public health measures are implemented, connectivity in the graph decreases, resulting in lower effective reproductive numbers, and reduced viral transmission. For COVID-19, model parameters were derived from the coronavirus epidemic in China, validated by epidemic data in Italy, then applied to the United States. We calculate that, in the U.S., the public is able to contain viral transmission by limiting the average number of contacts per person to less than 7 unique individuals over each 5 day period. This increases the average social distance between individuals to 10 degrees of separation.",3/27/2020,['Harvard University'],"the mean basic reproductive number R0 is 3.86, The predicted R0 is 3.31, The
observed R0 is 2.99.
","3.86, 3.31, 2.99",,,
COVID-19 attack rate increases with city size,10.1101/2020.03.22.20041004,"The current outbreak of novel coronavirus disease 2019 (COVID-19) poses an unprecedented global health and economic threat to interconnected human societies. Until a vaccine is developed, strategies for controlling the outbreak rely on aggressive social distancing. These measures largely disconnect the social network fabric of human societies, especially in urban areas. Here, we estimate the growth rates and reproductive numbers of COVID-19 in US cities from March 14th through March 19th to reveal a power-law scaling relationship to city population size. This means that COVID-19 is spreading faster on average in larger cities with the additional implication that, in an uncontrolled outbreak, larger fractions of the population are expected to become infected in more populous urban areas. We discuss the implications of these observations for controlling the COVID-19 outbreak, emphasizing the need to implement more aggressive distancing policies in larger cities while also preserving socioeconomic activity.",3/27/2020,['University of Chicago'],"ransmissible resulting in high reproductive numbers, R = 2.2−6.5",4.35,,,
Transmission dynamics of SARS-COV-2 in China: impact of public health interventions,10.1101/2020.03.24.20036285,"COVID-19 has become a global pandemic. However, the impact of the public health interventions in China needs to be evaluated. We established a SEIRD model to simulate the transmission trend of China. In addition, the reduction of the reproductive number was estimated under the current forty public health interventions policies. Furthermore, the infection curve, daily transmission replication curve, and the trend of cumulative confirmed cases were used to evaluate the effects of the public health interventions. Our results showed that the SEIRD curve model we established had a good fit and the basic reproductive number is 3.38 (95% CI, 3.25-3.48). The SEIRD curve show a small difference between the simulated number of cases and the actual number; the correlation index (H2) is 0.934, and the reproductive number (R) has been reduced from 3.38 to 0.5 under the current forty public health interventions policies of China. The actual growth curve of new cases, the virus infection curve, and the daily transmission replication curve were significantly going down under the current public health interventions. Our results suggest that the current public health interventions of China are effective and should be maintained until COVID-19 is no longer considered a global threat.",3/27/2020,"['Department of Engineering Managment, College of Civil Engineering, Yango University, Fuzhou, Fujian, China', 'Fujian Province Key Laboratory of Environment and Health, School of Public Health, Fujian Medical University, Fuzhou, Fujian, China', 'Department of Health Inspection and Quarantine, School of Public Health, Fujian Medical University, Fuzhou, Fujian, China', 'Department of Hepatology, Mengchao Hepatobiliary Hospital of Fujian Medical University, Fuzhou, Fujian Province, China', 'Fujian Medical University']","and R0 is 3.38, although a previous study had estimated R0 is about 2.2","3.38, 2.2",,,
Basic prediction methodology for covid-19: estimation and sensitivity considerations,10.1101/2020.03.27.20045575,"The purpose of the present paper is to present simple estimation and prediction methods for basic quantities in an emerging epidemic like the ongoing covid-10 pandemic. The simple methods have the advantage that relations between basic quantities become more transparent, thus shedding light to which quantities have biggest impact on predictions, with the additional conclusion that uncertainties in these quantities carry over to high uncertainty also in predictions. A simple non-parametric prediction method for future cumulative case fatalities, as well as future cumulative incidence of infections (assuming a given infection fatality risk f), is presented. The method uses cumulative reported case fatalities up to present time as input data. It is also described how the introduction of preventive measures of a given magnitude{rho} will affect the two incidence predictions, using basic theory of epidemic models. This methodology is then reversed, thus enabling estimation of the preventive magnitude{rho} , and of the resulting effective reproduction number RE. However, the effects of preventive measures only start affecting case fatalities some 3-4 weeks later, so estimates are only available after this time has elapsed. The methodology is applicable in the early stage of an outbreak, before, say, 10% of the community have been infected. Beside giving simple estimation and prediction tools for an ongoing epidemic, another important conclusion lies in the observation that the two quantities f (infection fatality risk) and{rho} (the magnitude of preventive measures) have very big impact on predictions. Further, both of these quantities currently have very high uncertainty: current estimates of f lie in the range 0.2% up to 2% ([9], [7]), and the overall effect of several combined preventive measures is clearly very uncertain. The two main findings from the paper are hence that, a) any prediction containing f, and/or some preventive measures, contain a large amount of uncertainty (which is usually not acknowledged well enough), and b) obtaining more accurate estimates of in particular f, should be highly prioritized. Seroprevalence testing of random samples in a community where the epidemic has ended are urgently needed.",3/30/2020,['Stockholm University'],common estimate of R0 equals 2.5,2.5,,,
Scaling analysis of COVID-19 spreading based on Belgian hospitalization data,10.1101/2020.03.29.20046730,"We analyze the temporal evolution of accumulated hospitalization cases due to COVID-19 in Belgium. The increase of hospitalization cases is consistent with an initial exponential phase, and a subsequent power law growth. For the latter, we estimate a power law exponent of {approx} 2.2, which is consistent with growth kinetics of COVID-19 in China and indicative of the underlying small world network structure of the epidemic. Finally, we fit an SIR-X model to the experimental data and estimate the effect of containment policies in comparison to their effect in China. This model suggests that the base reproduction rate has been significantly reduced, but that the number of susceptible individuals that is isolated from infection is very small. Based on the SIR-X model fit, we analyze the COVID-19 mortality and the number of patients requiring ICU treatment over time.",3/30/2020,"['KU Leuven', 'Indigo']","free reproduction number of R0,free = 6.2, effective reproduction number of R0,eff = 1.36","6.2, 1.36",,,
Estimation of protection for COVID-19 in children from epidemiological information and estimate effect of policy in Japan,10.1101/2020.03.27.20045252,"Background: Incidence in children was much less than in adults during the COVID-19 outbreak. Sports and entertainment events were canceled (VEC) in Japan for two weeks during 26 February - 13 March. Most schools were closed (SC). Object: We construct a susceptible-infected -recovered model using three age classes and estimate the basic reproduction number (R0) and protection level among children simultaneously. Then we simulate SC and VEC effects. Method: We used data of patients with symptoms in Japan during 14 January to assess SC and VEC introduction. Effects of SC and VEC were incorporated into the model through change in the contact pattern or frequencies among age classes. Results: Results suggest R0 as 2.86 [95%CI of 2.73, 2.97]. The protection level was estimated as 0.4 [0.2, 0.7]. SC and VEC can reduce the total number of patients significantly, by 6-7%. Discussion and Conclusion: The estimated R0 was similar to that found from other studies in China and Japan. We found a significant protection level among children, and by effects of SC and VEC. Introduction",3/30/2020,"['Center for Medical Sciences, Ibaraki Prefectural University of Health Sciences, Ibaraki, Japan', 'National Institute of Infectious Diseases, Tokyo, Japan']",Results: Results suggest R0 as 2.86,2.86,,,
COVID-19: Projecting the impact in Rohingya refugee camps and beyond,10.1101/2020.03.27.20045500,"Background: COVID-19 could have even more dire consequences in refugees camps than in general populations. Bangladesh has confirmed COVID-19 cases and hosts almost 1 million Rohingya refugees from Myanmar with 600,000 concentrated in Kutupalong-Balukhali Expansion Site (age mean: 21 years, sd: 18 years, 52% female). Projections of the potential COVID-19 burden, epidemic speed, and healthcare needs in such settings are critical for preparedness planning. Methods and Findings: To explore the potential impact of the introduction of SARS-CoV-2 in Kutupalong-Balukhali Expansion Site, we used a stochastic SEIR transmission model with parameters derived from emerging literature and age as the primary determinant of infection severity. We considered three scenarios with different assumptions about the transmission potential of SARS-CoV-2. From the simulated infections, we estimated hospitalizations, deaths, and healthcare needs expected, age-adjusted for the Kutupalong-Balukhali Expansion Site age distribution. Our findings suggest that a large-scale outbreak is likely after a single introduction of the virus into the camp with 61-92% of simulations leading to at least 1,000 people infected across scenarios. On average, in the first 30 days of the outbreak, we expect 18 (95% prediction interval (PI), 2-65), 54 (95% PI, 3-223), and 370 (95% PI, 4-1,850) people infected in the low, moderate, and high transmission scenarios, respectively. These reach 421,500 (95% PI, 376,300-463,500), 546,800 (95% PI, 499,300-567,000) and 589,800 (95% PI, 578,800-595,600) people infected in 12 months, respectively. Hospitalization needs exceeded the existing hospitalization capacity of 340 beds after 55-136 days between the low and high transmission scenarios. We estimate 2,040 (95% PI, 1,660-2,500), 2,650 (95% PI, 2,030-3,380), and 2,880 (95% PI, 2,090-3,830) deaths in the low, moderate and high transmission scenarios, respectively. Due to limited data at the time of analyses, we assumed that age was the primary determinant of infection severity and hospitalization. We expect that comorbidities and limited hospitalization and intensive care capacity may increase this risk, thus we may be underestimating the potential burden. Conclusions: Our findings suggest that a COVID-19 epidemic in a refugee settlement may have profound consequences, requiring large increases in healthcare capacity and infrastructure that may exceed what is currently feasible in these settings. Detailed and realistic planning for the worst-case in Kutupalong-Balukhali and all refugee camps worldwide must begin now. Plans should consider novel and radical strategies to reduce infectious contacts and fill health worker gaps while recognizing that refugees may not have access to national health systems.",3/30/2020,"['Johns Hopksin Bloomberg School of Public Health', 'Johns Hopkins Bloomberg School of Public Health', 'Johns Hopkins University']",Table,"1.75, 2.5, 4.25",,,
Forecasting the Worldwide Spread of COVID-19 based on Logistic Model and SEIR Model,10.1101/2020.03.26.20044289,"Background: With the outbreak of coronavirus disease 2019 (COVID-19), a sudden case increase in late February 2020 led to deep concern globally. Italy, South Korea, Iran, France, Germany, Spain, the US and Japan are probably the countries with the most severe outbreaks. Collecting epidemiological data and predicting epidemic trends are important for the development and measurement of public intervention strategies. Epidemic prediction results yielded by different mathematical models are inconsistent; therefore, we sought to compare different models and their prediction results to generate objective conclusions. Methods: We used the number of cases reported from January 23 to March 20, 2020, to estimate the possible spread size and peak time of COVID-19, especially in 8 high-risk countries. The logistic growth model, basic SEIR model and adjusted SEIR model were adopted for prediction. Given that different model inputs may infer different model outputs, we implemented three model predictions with three scenarios of epidemic development. Results: When comparing all 8 countries short-term prediction results and peak predictions, the differences among the models were relatively large. The logistic growth model estimated a smaller epidemic size than the basic SERI model did; however, once we added parameters that considered the effects of public health interventions and control measures, the adjusted SERI model results demonstrated a considerably rapid deceleration of epidemic development. Our results demonstrated that contact rate, quarantine scale, and the initial quarantine time and length are important factors in controlling epidemic size and length. Conclusions: We demonstrated a comparative assessment of the predictions of the COVID-19 outbreak in eight high-risk countries using multiple methods. By forecasting epidemic size and peak time as well as simulating the effects of public health interventions, the intent of this paper is to help clarify the transmission dynamics of COVID-19 and recommend operation suggestions to slow down the epidemic. It is suggested that the quick detection of cases, sufficient implementation of quarantine and public self-protection behaviors are critical to slow down the epidemic.",3/30/2020,"['Peking Union Medical College Hospital', ""National Health Commission of the People's Republic of China"", 'Digital China Health Technologies Co. Ltd', 'Digital China Health Technologies Co. Ltd.', 'Peking Union Medical College', 'Peking union medical college hospital']",(R0) ranges from 2.0 to 4.91,3.455,,,
Suppression and Mitigation Strategies for Control of COVID-19 in New Zealand,10.1101/2020.03.26.20044677,"A standard SEIR-type compartment model, parameterised for New Zealand, was used to simulate the spread of Covid19 in New Zealand and to test the effectiveness of various control strategies. Control aims can be broadly categorised as either suppression or mitigation. Suppression aims to keep cases to an absolute minimum for as long as possible. Mitigation aims to allow a controlled outbreak to occur, with the aim of preventing significant overloads on healthcare systems and gradually allowing the population to develop herd immunity. Both types of strategy are fraught with uncertainty. Suppression strategies can succeed in delaying an outbreak, but only for as long as such control measures can be sustained. Once controls are eased or restricted, an epidemic is likely to follow as no herd immunity has been acquired. The success or failure of mitigation strategies can depend sensitively on the timing and efficacy of control measures, and require the ability to bring rapidly growing outbreaks under immediate control when needed. This is as yet untested even for a combination of national interventions including case isolation, household quarantine, population-wide social distancing and closure of schools and universities. Although there are disadvantages to both types of approach, suppression has the advantage of buying time until a vaccine and/or treatment become available and allowing NZ to learn from rapidly unfolding events in other countries. A combination of successful suppression, strong border measures, and widespread contact tracing and testing resulting in containment could allow periods when control measures can be relaxed, but only if cases are reduced to a handful.",3/30/2020,"['University of Canterbury', 'University of Auckland']",A basic reproduction number of R0=2.5,2.5,,,
Evaluating the effectiveness of social distancing interventions against COVID-19,10.1101/2020.03.27.20044891,"SARS-CoV-2 has infected over 140,000 people as of March 14, 2020. We use a mathematical model to investigate the effectiveness of social distancing interventions lasting six weeks in a middle-sized city in the US. We explore four social distancing strategies by reducing the contacts of adults over 60 years old, adults over 60 years old and children, all adults (25, 75 or 95% compliance), and everyone in the population. Our results suggest that social distancing interventions can avert cases by 20% and hospitalizations and deaths by 90% even with modest compliance within adults as long as the intervention is kept in place, but the epidemic is set to rebound once the intervention is lifted. Our models suggest that social distancing interventions will buy crucial time but need to occur in conjunction with testing and contact tracing of all suspected cases to mitigate transmission of SARS-CoV-2.",3/30/2020,['Fred Hutchinson Cancer Research Center'],parameter values used: R0 = 2.26,2.26,,,
Dispersion of a new coronavirus SARS-CoV-2 by airlines in 2020: Temporal estimates of the outbreak in Mexico.,10.1101/2020.03.24.20042168,"On January 23, 2020, China imposed a quarantine on the city of Wuhan to contain the SARS-CoV-2 outbreak. Regardless of this measure the new infection has spread to several countries around the world. Here, we developed a method to study the dissemination of this infection by the airline routes and we give estimations of the time of arrival of the outbreaks to the different cities. In this work we show an analysis of the dispersion of this infection to other cities by airlines based on the classic model the Kermack and McKendrick complemented with diffusion on a graph composed of nodes which represent the cities and edges which represent the airline routes. We do several numerical simulations to estimate the date of arrival to different cities starting the infection at Wuhan, China and to show the robustness of the estimation respect to changes in the epidemiological parameters and to changes on the graph. We use Mexico City as an example. In this case, our estimate of the arrival time is between March 20 and March 30, 2020. This analysis is limited to the analysis of dispersion by airlines, so this estimate should be taken as an overestimate since the infection can arrive by other means. This model estimates the arrival of the infectious outbreak to Mexico between March 20 and March 30. This estimation gives a time period to implement and strengthen preventive measures aimed at the general population, as well as to strengthen hospital infrastructure and training of human resources in health.",3/30/2020,"['Universidad Nacional Autonoma de Mexico', 'Institut National des Sciences Appliquees']",of R0 = 2.53,"2.53, 2.1, 1.9",,,
A mathematical model of COVID-19 transmission between frontliners and the general public,10.1101/2020.03.27.20045195,"The number of COVID-19 cases is continuously increasing in different countries (as of March 2020) including the Philippines. It is estimated that the basic reproductive number of COVID-19 is around 1.5 to 4. The basic reproductive number characterizes the average number of persons that a primary case can directly infect in a population full of susceptible individuals. However, there can be superspreaders that can infect more than this estimated basic reproductive number. In this study, we formulate a conceptual mathematical model on the transmission dynamics of COVID-19 between the frontliners and the general public. We assume that the general public has a reproductive number between 1.5 to 4, and frontliners (e.g. healthcare workers, customer service and retail personnel, food service crews, and transport or delivery workers) have a higher reproduction number. Our simulations show that both the frontliners and the general public should be protected or resilient against the disease. Protecting only the frontliners will not result in flattening the epidemic curve. Protecting only the general public may flatten the epidemic curve but the infection risk faced by the frontliners is still high, which may eventually affect their work. Our simple model does not consider all factors involved in COVID-19 transmission in a community, but the insights from our model results remind us of the importance of community effort in controlling the transmission of the disease. All in all, the take-home message is that everyone in the community, whether a frontliner or not, should be protected or should implement preventive measures to avoid being infected.",3/30/2020,['University of the Philippines Los Banos'],"when the average number of secondary cases generated from a contagious
public individual and a contagious frontliner is 1.5 and 2.5",2,,,
In-host Modelling of COVID-19 Kinetics in Humans,10.1101/2020.03.26.20044487,"COVID-19 pandemic has underlined the impact of emergent pathogens as a major threat for human health. The development of quantitative approaches to advance comprehension of the current outbreak is urgently needed to tackle this severe disease. In this work, several mathematical models are proposed to represent SARS-CoV-2 dynamics in infected patients. Considering different starting times of infection, parameters sets that represent infectivity of SARS-CoV-2 are computed and compared with other viral infections that can also cause pandemics. Based on the target cell model, SARS-CoV-2 infecting time between susceptible cells (mean of 30 days approximately) is much slower than those reported for Ebola (about 3 times slower) and influenza (60 times slower). The within-host reproductive number for SARS-CoV-2 is consistent to the values of influenza infection (1.7-5.35). The best model to fit the data was including immune responses, which suggest a slow cell response peaking between 5 to 10 days post onset of symptoms. The model with eclipse phase, time in a latent phase before becoming productively infected cells, was not supported. Interestingly, both, the target cell model and the model with immune responses, predict that virus may replicate very slowly in the first days after infection, and it could be below detection levels during the first 4 days post infection. A quantitative comprehension of SARS-CoV-2 dynamics and the estimation of standard parameters of viral infections is the key contribution of this pioneering work.",3/30/2020,"['Frankfurt Institute for Advanced Studies', 'UNAM']",table,"11.5, 6.6, 3.4, 11.3, 3.17, 1.7",,,
"Short-term forecasts and long-term mitigation evaluations for the COVID-19 epidemic in Hubei Province, China",10.1101/2020.03.27.20045625,"As an emerging infectious disease, the 2019 coronavirus disease (COVID-19) has developed into a global pandemic. During the initial spreading of the virus in China, we demonstrated the ensemble Kalman filter performed well as a short-term predictor of the daily cases reported in Wuhan City. Second, we used an individual-level network-based model to reconstruct the epidemic dynamics in Hubei Province at its early stage and examine the effectiveness of non-pharmaceutical interventions on the epidemic spreading with various scenarios. Our simulation results show that without continued control measures, the epidemic in Hubei Province could have become persistent. Only by continuing to decrease the infection rate through 1) protective measures and 2) social distancing can the actual epidemic trajectory that happened in Hubei Province be reconstructed in simulation. Finally, we simulate the COVID-19 transmission with non-Markovian processes and show how these models produce different epidemic trajectories, compared to those obtained with Markov processes. Since recent studies show that COVID-19 epidemiological parameters do not follow exponential distributions leading to Markov processes, future works need to focus on non-Markovian models to better capture the COVID-19 spreading trajectories. In addition, shortening the infectious period via early case identification and isolation can slow the epidemic spreading significantly.",3/30/2020,"['Kansas State University', 'United States Department of Agriculture']",𝑅0 from which ranges from 2.2 to 6.6,4.4,,,
Determination of daily reproduction numbers of SARS-CoV2 based on death cases suggests more rapid initial spread in Italy and the United States,10.1101/2020.03.28.20046094,"Population density, behaviour and cultural habits strongly influence the spread of pathogens. Consequently, key epidemiological parameters may vary from country to country. Confirmed COVID-19 cases in in China have been used to estimate those parameters, that vary largely (reviewed in 1). The estimates also depend on testing frequency and case definitions that are prone to change during ongoing epidemics, providing additional uncertainties. The rise in fatal cases due to SARS-CoV2 could be a more reliable parameter, since missing of deaths is less likely. In the absence of changes in the management of severe COVID-19 cases, the rise in death cases should be proportional to the rise in virus infections. Although the fluctuating low numbers of fatal cases very early in the epidemic may lead to some uncertainty, more than 100 deaths per day are reported since 10.03.2020 in Italy and since 21.03.2020 in the US. Therefore, the dynamics of deaths were analysed to estimate the daily reproduction numbers (Rt) and the effectiveness of control measures. Thus, our analysis provides evidence that basic epidemiological parameters differ between countries to an extent compromising epidemiological predictions of the pandemic. It also suggests that suppression of spread in Italy and the US may be more difficult to achieve. Although we assume that variations in social behaviour are responsible for the different estimates of R0, selection of more rapidly spreading variants of SARS-CoV-2 cannot be excluded. Despite uncertainty in the reliability of the data used and lack of information on possible changes in the effectiveness of registration of COVID-19 deaths during the observation period, our findings should be considered as a working hypothesis demanding further investigations. As the number of deaths rapidly increases worldwide, we encourage more sophisticated modelling of the epidemic based on the dynamics of death cases by experts in the field.",3/31/2020,"['Institute of Clinical and Molecular Virology, University Hospital Erlangen, Friedrich-Alexander University Erlangen-Nuremberg FAU']",The R0 of 3.4 we derive from the rise in early death cases in Italy is higher than the R0 of 2.2 reported from the rise in confirmed cases in China,"3.4, 2.2",,,
No Evidence for Temperature-Dependence of the COVID-19 Epidemic,10.1101/2020.03.29.20046706,"The pandemic of the COVID-19 disease extended from China across the north-temperate zone, and more recently to the tropics and southern hemisphere. We find no evidence that spread rates decline with temperatures above 20 oC, suggesting that the COVID-19 disease is unlikely to behave as a seasonal respiratory virus.",3/31/2020,[],,,,Bad,
The first three months of the COVID-19 epidemic: Epidemiological evidence for two separate strains of SARS-CoV-2 viruses spreading and implications for prevention strategies,10.1101/2020.03.28.20036715,"About one month after the COVID-19 epidemic peaked in Mainland China and SARS-CoV-2 migrated from China westward to Europe and then the U.S., the epidemiological data begin to provide important insights into the risks associated with the disease and the effectiveness of intervention strategies. Like other respiratory diseases, including the 2003 SARS epidemic, the virus remains only about two months in any given population, yet the peak incidence and the lethality can vary. The data suggest that at least two strains of the 2020 SARS-CoV-2 virus have evolved during its migration from Mainland China to Europe. South Korea, Iran, and Italy were hit by the more dangerous ""SKII"" variant. While the epidemic in China is about to end, and in Europe about to level off, the course of the epidemic in the younger US population is still increasing and the peak level will likely depend on which of the strains has entered the US first. The same models that help us to understand the epidemic also help us to choose prevention strategies. While containment merely prolongs the time the disease circulates until the proportion of immune people is high enough for ""herd immunity"", reducing disease severity, either by vaccination or by early treatment of complications, is the best strategy against a respiratory virus disease.",3/31/2020,['ASDERA LLC'],of R0=1.5–2.5,2,,,
Targeted adaptive isolation strategy for Covid-19 pandemic,10.1101/2020.03.23.20041897,We investigate the effects of social distancing in controlling the impact of the COVID-19 epidemic using a simple susceptible-infected-removed epidemic model. We show that an alternative or complementary approach based on targeted isolation of the vulnerable sub-population may provide a more efficient and robust strategy at a lower economic and social cost within a shorter timeframe resulting in a collectively immune population.,3/31/2020,"['University of Queensland', 'University of Kansas Medical Center']","Solutions of the SIR model with R0 =1.4, 1.8, and 2.4","1.4, 1.8, 2.4",,,
The SARS-CoV-2 epidemic outbreak: a review of plausible scenarios of containment and mitigation for Mexico,10.1101/2020.03.28.20046276,"We present here several variants of a mathematical model to explore three main issues related to SARS-CoV-2 spread in scenarios similar to those present in Mexico and elsewhere in Latin America. We explore the consequences for travel inside a given region, in this case Mexico, particularly focusing on airplane transportation but attempting to give a gross approximation to terrestrial movement since this is the main form of population movement across geographical areas in the country; then we proceed to study the effect of behavioral changes required to lower transmission by lowering the contact rate and infection probability and lastly, we explore the consequences of disease spread in a population subject to social isolation.These models are not suitable for predictive purposes although some rough predictions can be extracted from them. They are presented as a tool that can serve to explore plausible scenarios of spread and impact, effectiveness and consequences of contention and mitigation policies. Given the early stage at which the epidemic is at the date of writing in Mexico, we hope these ideas can be helpful for the understanding of the importance of isolation, social distancing and screening of the general population.",3/31/2020,"['Universidad de Sonora', 'Universidad Autonoma de San Luis Potosi', 'Universidad Nacional Autonoma de Mexico - Juriquilla']","R0 of the new coronavirus in Wuhan China, estimated (Jan 24, 2020) its value as 2.68, We obtained using the exponential growth method,  and using the maximum likelihood R0 = 2.3
R0 = 2.7","2.68, 2.7, 2.3",,,
A phased lift of control: a practical strategy to achieve herd immunity against Covid-19 at the country level,10.1101/2020.03.29.20046011,"Most countries are affected by the Covid-19 pandemic and experience rapidly increasing numbers of cases and deaths. Many have implemented nationwide stringent control to avoid overburdening the health care system. This paralyzes economic and social activities until the availability of a vaccine, which may take years. We propose an alternative exit strategy to develop herd immunity in a predictable and controllable way: a phased lift of control. This means that successive parts of the country (e.g. provinces) stop stringent control, and Covid-19-related IC admissions are distributed over the country as the whole. Importantly, vulnerable individuals need to be shielded until herd immunity has developed in their area. We explore the characteristics and duration of this strategy using a novel individual-based model for geographically stratified transmission of Covid-19 in a country. The model predicts that individuals will have to experience stringent control for about 14 months on average, but this duration may be significantly shortened by future developments (more IC beds, better drugs). Clearly, the strategy will have a profound impact on individuals and society, and should therefore be considered carefully by various other disciplines (e.g. health systems, ethics, economics) before actual implementation.",4/1/2020,"['Department of Public Health, Erasmus MC, University Medical Center Rotterdam, The Netherlands']",reproduction number R0 = 2.5,2.5,,,
Understanding COVID-19 spreading through simulation modeling and scenarios comparison: preliminary results.,10.1101/2020.03.30.20047043,"Since late 2019 the world is facing the rapid spreading of a novel viral disease (SARS-CoV-2) provoked by the coronavirus 2 infection (COVID-19), declared pandemic last 12 March 2020. As of 27 March 2020, there were more than 500,000 confirmed cases and 23,335 deaths worldwide. In those places with a rapid growth in numbers of sick people in need of hospitalization and intensive care, this demand has over-saturate the medical facilities and, in turn, rise the mortality rate. In the absence of a vaccine, classical epidemiological measures such as testing, quarantine and physical distancing are ways to reduce the growing speed of new infections. Thus, these measures should be a priority for all governments in order to minimize the morbidity and mortality associated to this disease. System dynamics is widely used in many fields of the biological sciences to study and explain changing systems. The system dynamics approach can help us understand the rapid spread of an infectious disease such as COVID-19 and also generate scenarios to test the effect of different control measures. The aim of this study is to provide an open model (using STELLA(R) from Iseesystems) that can be customized to any area/region and by any user, allowing them to evaluate the different behavior of the COVID-19 dynamics under different scenarios. Thus, our intention is not to generate a model to accurately predict the evolution of the disease nor to supplant others more robust -official and non-official- from governments and renowned institutions. We believe that scenarios comparison can be an effective tool to convince the society of the need of a colossal and unprecedented effort to reduce new infections and ultimately, fatalities.",4/1/2020,"['Universidad de Alicante', 'University of Alicante', 'Instituto de Salud Carlos III, European Centre for Disease Prevention and Control, Ministry of Health, Spain']","after an initial R0 of 2.8,  R0=2.33","2.8, 2.33",,,
